,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,CIUDAD,COD_OFI,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA
0,M,746476,39.0,MED,CAS,LOS ANGELES,68,0,38292,0,434357,1766,9110,340,2,2000000,NO,NO FUGA
1,F,11901,49.0,MED,VIU,SANTIAGO,16,0,0,0,0,48,0,0,1,7500000,SI,NO FUGA
2,M,1651421,39.0,TEC,CAS,ANTOFAGASTA,90,0,604169,0,0,323,26489,2925,1,8000000,NO,NO FUGA
3,F,638969,36.0,UNV,CAS,SANTIAGO,85,0,5125,0,198998,94,0,105,1,2600000,NO,NO FUGA
4,M,860113,44.0,TEC,CAS,SANTIAGO,45,0,11946,0,73959,149,0,272,1,6400000,NO,NO FUGA
5,M,329463,40.0,TEC,CAS,SANTIAGO,53,0,187538,0,12008,641,118,154,2,7700000,NO,FUGA
6,M,28732,45.0,UNV,CAS,SANTIAGO,55,559984,532706,0,0,1464,15600,1523,1,2900000,NO,FUGA
7,F,11563,41.0,TEC,SOL,SANTIAGO,47,0,141317,0,525325,13,0,477,1,2100000,SI,NO FUGA
8,F,3044549,33.0,MED,CAS,ARICA,22,0,102078,0,0,44,0,0,1,1600000,NO,NO FUGA
9,F,3632707,39.0,MED,VIU,SANTIAGO,27,0,162658,0,445896,865,0,907,1,2800000,NO,NO FUGA
10,F,2904507,46.0,MED,CAS,SANTIAGO,41,1308419,773273,0,543085,9603,0,1845,1,3700000,NO,NO FUGA
11,F,81895,37.0,TEC,CAS,SANTIAGO,139,0,71058,0,0,40,0,0,1,1900000,NO,NO FUGA
12,M,525874,48.0,UNV,CAS,SANTIAGO,52,222325,1055,0,0,597,0,0,1,1900000,NO,FUGA
13,M,63148,43.0,UNV,CAS,SANTIAGO,122,0,203033,0,139614,205,404,555,1,4800000,NO,FUGA
14,F,2620751,39.0,TEC,VIU,SANTIAGO,80,0,759881,0,94735,0,0,0,0,3300000,NO,NO FUGA
15,M,35296,40.0,MED,CAS,SANTIAGO,128,0,0,0,0,181,0,0,1,1900000,NO,FUGA
16,M,28267,45.0,UNV,CAS,SANTIAGO,55,0,197999,0,503706,326,0,5994,3,4000000,SI,FUGA
17,M,808822,43.5859204197639,UNV,CAS,SANTIAGO,31,0,14243,0,0,147,0,0,2,4500000,NO,FUGA
18,M,47223,54.0,UNV,CAS,SANTIAGO,152,0,6266,0,2804,119,0,138,1,4800000,NO,FUGA
19,F,23976,41.0,MED,SOL,SANTIAGO,16,0,42045,0,82508,434,0,50,1,1800000,SI,NO FUGA
20,F,19886,54.0,TEC,SOL,SANTIAGO,19,0,300817,0,0,585,0,0,1,700000,SI,NO FUGA
21,F,560302,47.0,MED,CAS,ARICA,138,0,0,0,0,9,0,0,1,2400000,NO,FUGA
22,M,9394,51.0,MED,CAS,SANTIAGO,31,255678,134779,0,59821,1028,10366,9138,1,1100000,NO,FUGA
23,M,537818,29.0,TEC,CAS,CONCEPCION,27,0,104472,0,0,2,0,0,1,2200000,NO,FUGA
24,F,248276,49.0,TEC,CAS,TALCAHUANO,77,0,733019,0,0,20,0,376,1,1100000,NO,NO FUGA
25,F,226727,29.0,MED,CAS,ANTOFAGASTA,13,387756,167023,0,0,377,0,0,1,1000000,NO,NO FUGA
26,M,581593,46.0,TEC,VIU,SANTIAGO,55,0,504107,0,189115,0,0,174,0,8000000,NO,NO FUGA
27,M,171798,52.0,UNV,CAS,SANTIAGO,31,0,97745,0,0,0,0,4921,1,2200000,SI,FUGA
28,M,1714426,43.0,UNV,CAS,SANTIAGO,16,0,212011,0,0,0,0,21,1,4200000,NO,FUGA
29,F,14423,39.0,TEC,SOL,TEMUCO,60,0,435093,0,240380,41,2673,383,3,8000000,SI,NO FUGA
30,M,1126011,37.0,TEC,CAS,SANTIAGO,52,0,533076,0,0,0,17581,0,0,8000000,NO,NO FUGA
31,M,26796,41.0,UNV,SEP,ARICA,138,284901,587892,0,218068,500,1367,502,2,3500000,NO,FUGA
32,F,249559,27.0,MED,CAS,RANCAGUA,116,228929,0,0,0,6,0,0,1,3700000,NO,NO FUGA
33,M,2508956,44.0,MED,CAS,SANTIAGO,55,623615,1681538,0,0,3201,0,57256,3,4600000,SI,FUGA
34,M,147751,46.0,MED,CAS,SANTIAGO,31,0,175864,0,0,47,0,0,1,1700000,SI,FUGA
35,M,234552,52.0,UNV,CAS,SANTIAGO,31,0,0,0,0,313,0,0,1,2200000,NO,FUGA
36,F,189901,46.0,MED,CAS,SANTIAGO,92,0,5622,0,160007,106,0,23,1,2000000,NO,FUGA
37,M,1233336,44.0,UNV,CAS,SANTIAGO,55,193646,15527,0,0,836,0,0,2,3000000,NO,FUGA
38,M,22984,46.0,UNV,CAS,SANTIAGO,102,0,1582,0,222249,28,3261,190,1,5400000,SI,FUGA
39,F,200685,51.0,MED,CAS,TEMUCO,124,0,1803351,0,79,2281,6308,0,2,800000,NO,NO FUGA
40,F,292141,27.0,UNV,CAS,SANTIAGO,125,0,0,0,36122,0,0,2,0,4000000,NO,NO FUGA
41,M,582881,28.0,TEC,SOL,SANTIAGO,37,0,178223,0,0,107,0,0,2,1400000,NO,FUGA
42,M,41095,40.0,UNV,CAS,SANTIAGO,55,0,9063,865877,0,0,20,248,1,1900000,NO,FUGA
43,F,247458,49.0,UNV,CAS,ARICA,138,364846,90577,0,78091,894,0,82,1,900000,NO,FUGA
44,M,123985,49.0,UNV,CAS,ARICA,138,0,298173,0,99446,0,0,10,1,3400000,SI,FUGA
45,M,4973,54.0,MED,SOL,CONCEPCION,27,0,0,0,144490,0,2298,207,1,2000000,NO,FUGA
46,F,2170313,38.0,UNV,CAS,CHUQUICAMATA,21,0,431838,0,0,35,0,0,1,8000000,NO,NO FUGA
47,M,628289,47.0,UNV,CAS,SANTIAGO,127,0,344058,0,0,105,0,0,2,3400000,NO,FUGA
48,M,34232,45.0,UNV,CAS,SANTIAGO,122,0,118236,0,296748,697,35,144,2,1300000,SI,FUGA
49,M,625999,55.0,TEC,CAS,SANTIAGO,16,0,0,0,2077,348,0,415,1,5700000,NO,FUGA
50,M,27754,46.0,UNV,CAS,SANTIAGO,55,645645,859109,0,0,360,0,0,1,4100000,NO,FUGA
51,M,213994,40.0,TEC,CAS,SANTIAGO,30,458385,1693416,0,371623,1791,0,671,3,1900000,NO,NO FUGA
52,F,53632,53.0,MED,SOL,SANTIAGO,80,0,0,0,0,0,0,49,0,8000000,SI,NO FUGA
53,F,6878013,26.0,TEC,VIU,ARICA,22,0,189575,0,41218,1,0,0,1,1600000,NO,NO FUGA
54,M,12215,55.0,MED,CAS,SANTIAGO,55,142855,209317,0,21778,1002,0,0,1,3300000,NO,FUGA
